proyecto_id,proyecto_nombre,promotor,tecnologia,tecnologia_tipo,mw_proyecto,tension_kv,distribuidora,subestacion,subestacion_raw,sets_capacity_key,provincia,fecha_adversa,tipo_adverso,estado_adverso,boletin,lag_p25_dias,lag_mediana_dias,lag_p75_dias,lag_real_dias,ventana_inicio,ventana_fin,estado_ventana,confianza,prob_afloramiento,descripcion,n_casos_empiricos,confirmacion_fuente,n_proyectos_set
prj_06860,Planta Solar Fotovoltaica Fortuna II,"Calvitero Solar 13, S.L.",Fotovoltaica,gen,6.28,13.2,REE,VALLADOLID NUEVO,ST Valladolid,VALLADOLID T11 13 13.2,,2025-11-04,AAP,desistido,BOCyL,31,187,268,,2025-12-05,2026-07-30,EN_VENTANA,0.85,50,Estimado: 31–268d tras AAP desistido (base historial DSO: 189 casos  ·  total confirmados: 189).,189,,1
prj_02953,Planta Solar Fotovoltaica La Carrasquilla,"Global Solar Energy Dieciocho, S.L.",Fotovoltaica,gen,49.89,132.0,REE,LA LORA,La Lora III-IV,LORA 66,,2023-05-09,AAP_AAC,desistido,BOCyL,31,187,268,,2026-06-01,2024-07-08,SOBREPLAZO,0.85,50,Estimado: 31–268d tras AAP_AAC desistido (base historial DSO: 189 casos  ·  total confirmados: 189).,189,,1
prj_04340,Parque Eólico Acevedo,"Instalaciones Eléctricas de Sanxenxo, S.L.U.",Eólica,gen,8.0,20.0,Viesgo,RIBADEO,Subestación de Ribadeo 132/20 kV,RIBADEO 132,LUGO,2024-04-15,AAP_AAC,archivado,DOG,31,187,268,,2026-06-01,2025-06-15,SOBREPLAZO,0.85,75,Estimado: 31–268d tras AAP_AAC archivado (base historial DSO: 189 casos  ·  total confirmados: 189).,189,,1
prj_05070,Parque Eólico Alvite,"Green Capital Power, S.L.",Eólica,gen,41.4,220.0,REE,LOUSAME,Lousame 220 kV,LOUSAME 220,,2024-10-02,AAP_AAC,denegado,DOG,31,187,268,,2026-06-01,2025-12-02,SOBREPLAZO,0.85,75,Estimado: 31–268d tras AAP_AAC denegado (base historial DSO: 189 casos  ·  total confirmados: 189).,189,,1
prj_05370,PSFV Salvatierra,"Salvatierra Equilibrio Medioambiental, S.L.",Fotovoltaica,gen,139.97,400.0,REE,TABERNAS,Tabernas 400 kV,TABERNAS 400,,2024-12-04,AAP_AAC,denegado,BOJA,31,187,268,,2026-06-01,2026-02-03,SOBREPLAZO,0.85,75,Estimado: 31–268d tras AAP_AAC denegado (base historial DSO: 189 casos  ·  total confirmados: 189).,189,,3
prj_05633,Parque Eólico Ampliación Alto da Croa II,"Wind Premier O Pedregal, S.L.U.",Eólica,gen,4.5,220.0,REE,REGOELLE,Regoelle 220 kV,REGOELLE 220,,2025-02-05,AAP_AAC,denegado,DOG,31,187,268,,2026-06-01,2026-04-07,SOBREPLAZO,0.85,75,Estimado: 31–268d tras AAP_AAC denegado (base historial DSO: 189 casos  ·  total confirmados: 189).,189,,1
prj_02449,Lorca Solar PV,"X-Elio Andaltia Murcia, SL",Fotovoltaica,gen,339.1,132.0,iDE,SMR LORCA,Subestación 132/400 kV Lorca Solar,,NAVARRA,2020-06-09,DIA,archivado,BOE,31,187,268,0.0,2020-06-09,2020-06-09,CONFIRMADO,0.95,75,Afloración confirmada por resolución BOE: 287.6 MW liberados en 0d tras DIA archivado.,189,boe_texto,1
prj_02488,Parque Eólico El Moral,"ESTUDIOS Y PROYECTOS PRADAMAP, S.L.U.",Eólica,gen,48.0,132.0,REE,BUNIEL,BUNIEL 400 kV,BUNIEL T2 45 45,,2023-01-10,AAP,denegado,BOCyL,31,187,268,0.0,2023-01-10,2023-01-10,CONFIRMADO,0.95,75,Afloración confirmada por resolución BOE: 48.0 MW liberados en 0d tras AAP denegado.,189,boe_texto,1
prj_03458,Parque Solar Fotovoltaico Santo Toribio,"Renantis España 1, SLU (antes Falck Renewables Power 1, SL)",Fotovoltaica,gen,88.64,220.0,REE,CAMPOS,Campos de Levante 30/220 kV,CAMPOS 400,,2023-08-21,AAP,denegado,BOE,31,187,268,0.0,2023-08-21,2023-08-21,CONFIRMADO,0.95,75,Afloración confirmada por resolución BOE: 88.6 MW liberados en 0d tras AAP denegado.,189,boe_texto,1
prj_02572,Planta Solar Fotovoltaica Castrillo III,"Planta Fotovoltaica La Cepeda, S.L.",Fotovoltaica,gen,50.0,400.0,REE,MONTEARENAS,Montearenas 400 kV,MONTEARENAS 400,,2023-08-28,AAP,denegado,BOCyL,31,187,268,0.0,2023-08-28,2023-08-28,CONFIRMADO,0.95,75,Afloración confirmada por resolución BOE: 50.0 MW liberados en 0d tras AAP denegado.,189,boe_texto,1
