proyecto_id,proyecto_nombre,promotor,tecnologia,mw_proyecto,subestacion_raw,subestacion_match,match_score,distribuidora,provincia_cap,tension_kv_prj,fecha_adversa,tipo_adverso,estado_adverso,boletin,capacidad_base_mw,lag_dias,delta_mw,fecha_afloracion,confirmacion_fuente
prj_02449,Lorca Solar PV,"X-Elio Andaltia Murcia, SL",Fotovoltaica,339.1,Subestación 132/400 kV Lorca Solar,SMR LORCA,0.5,iDE,NAVARRA,132.0,20200609,DIA,archivado,BOE,,0,287.6,2020-06-09,boe_texto
prj_04421,Parque Eólico Cerro Del Águila,"NdO Proyectos Industriales 2007, S.L.N.E.",Eólica,2.5,,,,,Valladolid,,20210810,AAP,denegado,BOCyL,,0,2.5,2021-08-10,boe_texto
prj_02488,Parque Eólico El Moral,"ESTUDIOS Y PROYECTOS PRADAMAP, S.L.U.",Eólica,48.0,BUNIEL 400 kV,BUNIEL,1.0,REE,,132.0,20230110,AAP,denegado,BOCyL,,0,48.0,2023-01-10,boe_texto
prj_02852,PFV Añover de Tajo,"Circle Energy Columba, SL",Fotovoltaica,30.0,,,,,Toledo,,20230321,AAP,desistido,DOCM,,0,30.0,2023-03-21,boe_texto
prj_03328,Instalación Fotovoltaica Cabriana IV,"Leader Attitude, S.L.",Fotovoltaica,44.5,,,,,La Rioja,,20230526,AAP_AAC,denegado,BOLR,,0,44.5,2023-05-26,boe_texto
prj_03458,Parque Solar Fotovoltaico Santo Toribio,"Renantis España 1, SLU (antes Falck Renewables Power 1, SL)",Fotovoltaica,88.635,Campos de Levante 30/220 kV,CAMPOS,0.5,REE,,220.0,20230821,AAP,denegado,BOE,,0,88.6,2023-08-21,boe_texto
prj_02572,Planta Solar Fotovoltaica Castrillo III,"Planta Fotovoltaica La Cepeda, S.L.",Fotovoltaica,50.0,Montearenas 400 kV,MONTEARENAS,1.0,REE,,400.0,20230828,AAP,denegado,BOCyL,,0,50.0,2023-08-28,boe_texto
prj_03527,Parque Solar Fotovoltaico Aldehuela,"Desarrollos Renovables Madroño, SL",Fotovoltaica,129.984,La Torrecilla 220 kV (REE),LA TORRECILLA,1.0,REE,,220.0,20230925,AAP,denegado,BOE,,311,138.0,2024-08-01,historial_dso
prj_03528,Parque Solar Fotovoltaico Albares,"Green Capital Power, SLU",Fotovoltaica,80.0,La Vega,ARROYO DE LA VEGA,0.5,REE,,132.0,20230925,AAP,denegado,BOE,,0,80.0,2023-09-25,boe_texto
prj_03556,Parque Solar Fotovoltaico Martiánez Solar,"Martiánez Solar, SLU",Fotovoltaica,50.99,,,,,Madrid,30.0,20230929,AAP,denegado,BOE,,0,51.0,2023-09-29,boe_texto
prj_03565,Parques Solares Fotovoltaicos Alya y Atik,,Fotovoltaica,60.5,,,,,,,20231003,DIA,desfavorable,BOE,,0,60.5,2023-10-03,boe_texto
prj_03574,Parque Eólico Los Corrales,"Green Capital Power, SL",Eólica,58.6,Olite 220 kV,OLITE,1.0,REE,,220.0,20231004,AAP,denegado,BOE,,0,58.6,2023-10-04,boe_texto
prj_03580,Parque Solar Fotovoltaico Formentor Solar,"Nortada Solar, SLU",Fotovoltaica,52.0,Alcalá II 220 kV,ALCALA 132,1.0,iDE,MADRID,220.0,20231005,AAP,denegado,BOE,,0,52.0,2023-10-05,boe_texto
prj_03598,Parque Solar Fotovoltaico Gran Fregacedos,"Fotones del Atlántico, SL",Fotovoltaica,111.8,Camino Fregacedos,CAMINO FREGACEDOS,1.0,REE,,220.0,20231009,AAP,denegado,BOE,,0,111.8,2023-10-09,boe_texto
prj_03694,Parque Solar Fotovoltaico Noguera,"Noguera Solar, SLU",Fotovoltaica,50.01,,,,,Madrid,30.0,20231103,AAP,denegado,BOE,,0,50.0,2023-11-03,boe_texto
prj_03695,Parque Fotovoltaico Borealis,"Parque FV Borealis, SL",Fotovoltaica,160.0,Nudo Algete,ALGETE,0.5,REE,,,20231103,AAP,denegado,BOE,,0,160.0,2023-11-03,boe_texto
