proyecto;proyecto_id;set;fecha_adversa;lag_meses;delta_mw;mw_proyecto;ratio
PE Miramón;prj_05764;LA SERNA    66.000 66;20240902;1;24.2;72;0.34
PE Lorbes;prj_05767;LA SERNA    66.000 66;20240902;1;24.2;50;0.48
PSFV Cubillos FV;prj_06396;ZAMORA 220;20250124;1;73.0;56.1;1.3
PSFV Envatios XXIII y Envatios XXIII-Fase II;prj_08197;PINTO 220;20251222;2;345.0;242.35;1.42
PSFV Almansa I;prj_07902;MONTESA 400;20251106;3;84.0;75.6;1.11
PE Batifol;prj_08322;LUDRIO 400;20260318;3;23.0;54.4;0.42
PSFV Valle 2;prj_07686;RENEDO 220;20251006;4;234.0;108.9;2.15
PE Fulgora;prj_07577;BEGUES 400;20250909;5;96.0;56;1.71
PE Hazapierna;prj_07502;MEDINACELI 400;20250826;6;31.0;48.8;0.64
PSFV Barcina Garoña Vega I;prj_07438;BARCINA 400;20250811;6;132.0;63.57;2.08
PSFV Barcina Garoña Vega II;prj_07437;BARCINA 400;20250811;6;132.0;63.57;2.08
PSFV Pagos De Sierra;prj_07954;PUEBLA DE GUZMAN 220;20251113;6;45.0;170;0.26
PE Sasamón;prj_07319;CILLAMAYOR 220;20250722;7;53.0;112.2;0.47
Proyecto Ríos FV;prj_07810;LOS LEONES 220;20251023;8;148.0;66.5;2.23
PE Las Milagrosas;prj_04733;PINAR 45;20240221;10;30.0;62.7;0.48
PE El Juncal;prj_04734;PINAR 45;20240221;10;30.0;91.2;0.33
PE Cerevil;prj_06539;VILLIMAR 220;20250303;11;84.0;153;0.55
PSFV Aldehuela;prj_03986;LA TORRECILLA 220;20230925;11;138.0;129.984;1.06
PE El Pelado;prj_06454;BEGUES 400;20250210;12;96.0;49.5;1.94
PE San Vicente;prj_06455;BEGUES 400;20250210;12;96.0;49;1.96
PSFV Prado Gris;prj_06180;BOADILLA 220;20241204;14;221.0;134.7;1.64
PSFV Gasset;prj_06263;PRADO SANTO DOMINGO 220;20241220;14;206.0;200;1.03
PE Avoceta Wind;prj_06044;VELLE 220;20241107;15;369.0;;
PE Taranis;prj_06145;BEGUES 400;20241128;15;96.0;49.5;1.94
PE Rula;prj_05899;TOMEZA 220;20241007;16;94.0;55;1.71
PSFV Oropesa;prj_05829;BOADILLA 220;20240920;17;221.0;250;0.88
Instalación Híbrida Araña;prj_06146;VALLEJERA 220;20241128;17;43.0;72.95;0.59
PSFV Campos del Turia;prj_05334;BERNAT 220;20240606;20;118.0;80;1.48
PSFV IFV Mezquita;prj_05140;FARGUE 220;20240503;21;184.0;105;1.75
PE Lucecú;prj_05199;ABEGONDO 220;20240515;21;135.0;115;1.17
PE Sangorrín;prj_05763;LA SERNA    66.000 66;20240902;21;38.1;100;0.38
PE Salto del Lobo;prj_05765;LA SERNA    66.000 66;20240902;21;38.1;100;0.38
PE Valentuña;prj_05766;LA SERNA    66.000 66;20240902;21;38.1;100;0.38
PE Carola;prj_04858;SALAS 400;20240311;23;153.0;80;1.91
PE Barjas;prj_04889;TRIVES 220;20240315;23;298.0;121;2.46
PE Prada;prj_04890;TRIVES 220;20240315;23;298.0;168;1.77
PSFV Rueda Solar;prj_04638;RUEDA DE JALON 400;20240209;24;437.0;290.466;1.5
PSFV Mirabal_0;prj_04740;FARGUE 220;20240222;24;184.0;105;1.75
