fecha,distribuidora,provincia,subestacion,tension_kv,disponible_neta,prev_disp,delta,mes,trimestre,año
2025-11-01,ERedes,Asturias,SE ALIMERKA,50.0,0.0,-26.0,26.0,11,4,2025
2025-11-01,ERedes,Asturias,SE CASTIELLO,22.0,5.0,0.0,5.0,11,4,2025
2025-11-01,ERedes,Asturias,SE CORREDORIA,22.0,0.0,-8.0,8.0,11,4,2025
2026-03-01,ERedes,Alicante/Alacant,SE ELCHE,20.0,-9.0,-51.42,42.42,3,1,2026
2025-11-01,ERedes,Asturias,SE MIRANDA,22.0,3.0,-5.0,8.0,11,4,2025
2025-11-01,ERedes,Asturias,SE PRAVIA,22.0,0.0,-12.0,12.0,11,4,2025
2025-11-01,ERedes,Asturias,SE PRAVIA,50.0,0.0,-36.0,36.0,11,4,2025
2025-11-01,ERedes,Asturias,SE PRIAÑES,22.0,0.0,-5.0,5.0,11,4,2025
2025-11-01,ERedes,Valencia,SE QUART DEL POBLET,20.0,0.0,-9.0,9.0,11,4,2025
2026-01-01,ERedes,Asturias,SE ROMIO,132.0,10.0,0.0,10.0,1,1,2026
2026-01-01,ERedes,Asturias,SE ROMIO,22.0,5.0,0.0,5.0,1,1,2026
2026-01-01,ERedes,Asturias,SE ROMIO,50.0,5.0,0.0,5.0,1,1,2026
2025-11-01,ERedes,Valencia,SE SAGUNTO,20.0,0.0,-5.0,5.0,11,4,2025
2026-01-01,ERedes,Asturias,SE TABIELLA,132.0,10.0,0.0,10.0,1,1,2026
2026-01-01,ERedes,Asturias,SE TABIELLA,22.0,5.0,0.0,5.0,1,1,2026
2026-01-01,ERedes,Asturias,SE TABIELLA,50.0,10.0,0.0,10.0,1,1,2026
2025-11-01,ERedes,Asturias,SE TRASONA,132.0,0.0,-150.0,150.0,11,4,2025
2025-11-01,ERedes,Valencia,SE VIDANOVA,20.0,0.0,-5.0,5.0,11,4,2025
2025-11-01,ERedes,Valencia,SE/CR ASTURIAS,20.0,0.0,-5.0,5.0,11,4,2025
2026-03-01,ERedes,Valencia/Valéncia,SE/CR BONAIRE 2,20.0,0.0,-15.0,15.0,3,1,2026
2025-11-01,ERedes,Asturias,SE/CR COLINA DEL FAISAN,22.0,0.0,-5.0,5.0,11,4,2025
2025-11-01,ERedes,Valencia,SE/CR LA PINAETA,20.0,0.0,-11.0,11.0,11,4,2025
2025-11-01,ERedes,Asturias,SE/CR LAVIANA,24.0,0.0,-5.0,5.0,11,4,2025
2025-11-01,ERedes,Asturias,SE/CR NARANCO,22.0,0.0,-9.0,9.0,11,4,2025
2026-03-01,ERedes,Alicante/Alacant,SE/CR PGNO LOS AZARBES,20.0,0.0,-7.0,7.0,3,1,2026
2025-11-01,ERedes,Asturias,SE/CR PIEDELORO,22.0,0.0,-5.0,5.0,11,4,2025
2022-03-01,Endesa,Cádiz,ABELLO,66.0,-91.7,-136.7,44.999999999999986,3,1,2022
2022-04-01,Endesa,Cádiz,ABELLO,66.0,0.0,-91.7,91.7,4,2,2022
2025-10-01,Endesa,Cádiz,ABIERTAS,15.0,-1.0,-8.8,7.800000000000001,10,4,2025
2021-09-01,Endesa,Barcelona,ABRERA,25.0,50.0,30.0,20.0,9,3,2021
2025-10-01,Endesa,Barcelona,ABRERA,25.0,52.4,13.0,39.4,10,4,2025
2025-12-01,Endesa,Barcelona,ABRERA,25.0,66.91,52.4,14.509999999999998,12,4,2025
2022-04-01,Endesa,Barcelona,AEROPORT,25.0,54.6,48.3,6.300000000000004,4,2,2022
2021-12-01,Endesa,Sevilla,AEROPUER,132.0,26.5,0.0,26.5,12,4,2021
2021-12-01,Endesa,Sevilla,AEROPUER,15.0,31.5,0.0,31.5,12,4,2021
2022-02-01,Endesa,Cádiz,AGROALIM,15.0,-12.0,-21.5,9.5,2,1,2022
2022-03-01,Endesa,Cádiz,AGROALIM,15.0,-2.1,-12.0,9.9,3,1,2022
2022-02-01,Endesa,Cádiz,AGROALIM,66.0,-138.8,-184.9,46.099999999999994,2,1,2022
