distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
UFD,MORAS,15.0,LA CORUÑA,4,3,1,100.0,11.0,15.0,2026-02-01,2027-01-01,2027-03-31,en 221d,0.82,2022-02-27|2022-03-27|2025-02-25|2026-02-01,,
iDE,ELIANA      132.00,132.0,VALENCIA,9,3,4,55.6,127.1,377.9,2026-01-01,2026-10-01,2026-12-31,en 129d,0.792,2024-05-29|2024-09-26|2024-11-15|2024-12-02|2025-04-11|2025-10-01|2025-11-01|2025-12-01|2026-01-01,,
iDE,CATADAU     132.00,132.0,VALENCIA,8,3,4,62.5,160.4,389.5,2026-05-01,2026-10-01,2026-12-31,en 129d,0.79,2024-06-25|2024-11-15|2024-12-02|2025-02-26|2025-10-01|2025-11-01|2025-12-01|2026-05-01,,
UFD,LOURIZAN,20.0,PONTEVEDRA,3,3,1,100.0,19.7,34.8,2026-02-01,2027-01-01,2027-03-31,en 221d,0.79,2022-02-27|2025-01-27|2026-02-01,,
REE,TELDE,66.0,,3,3,2,100.0,14.3,23.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.79,2024-04-01|2025-05-05|2026-05-01,,
Endesa,DOSHMNAS,132.0,Sevilla,5,3,4,80.0,22.3,50.0,2025-10-01,2026-10-01,2026-12-31,en 129d,0.77,2021-10-01|2021-11-01|2021-12-01|2022-02-01|2025-10-01,,
iDE,VALLDIGN T1,20.0,VALENCIA,5,3,4,80.0,9.6,15.2,2025-11-01,2026-10-01,2026-12-31,en 129d,0.77,2023-12-21|2024-09-26|2024-10-29|2025-10-01|2025-11-01,,
REE,PRADA,220.0,,6,3,2,66.7,67.2,152.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.747,2024-05-16|2024-12-02|2025-04-01|2025-05-05|2025-08-01|2026-05-01,,
Endesa,S_MARINA,66.0,Badajoz,6,4,4,66.7,41.3,98.2,2026-05-01,2026-10-01,2026-12-31,en 129d,0.747,2021-11-01|2021-12-01|2022-05-01|2025-10-01|2025-12-01|2026-05-01,,
REE,BERJA,220.0,,8,3,1,50.0,183.0,853.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.74,2024-05-16|2024-10-01|2025-01-02|2025-02-03|2025-03-03|2025-07-01|2025-08-01|2026-02-20,,
iDE,CHAMARTI    132.00,132.0,MADRID,8,3,4,50.0,69.1,174.7,2026-03-01,2026-10-01,2026-12-31,en 129d,0.74,2024-06-25|2024-08-27|2024-10-29|2024-12-02|2025-01-30|2025-10-01|2025-11-01|2026-03-01,,
