distribuidora,subestacion,tension_kv,provincia,n_eventos,mes_top,mes_top_pct,trimestre_top,tri_top_pct,avg_delta_mw,max_delta_mw,patron_claro,fechas_eventos
iDE,ELIANA      132.00,132.0,VALENCIA,9,11,22.2,4,55.6,127.1,377.9,True,2024-05-29|2024-09-26|2024-11-15|2024-12-02|2025-04-11|2025-10-01|2025-11-01|2025-12-01|2026-01-01
REE,BERJA,220.0,,8,2,25.0,1,50.0,183.0,853.0,True,2024-05-16|2024-10-01|2025-01-02|2025-02-03|2025-03-03|2025-07-01|2025-08-01|2026-02-20
iDE,CATADAU     132.00,132.0,VALENCIA,8,11,25.0,4,62.5,160.4,389.5,True,2024-06-25|2024-11-15|2024-12-02|2025-02-26|2025-10-01|2025-11-01|2025-12-01|2026-05-01
iDE,CHAMARTI    132.00,132.0,MADRID,8,10,25.0,4,50.0,69.1,174.7,True,2024-06-25|2024-08-27|2024-10-29|2024-12-02|2025-01-30|2025-10-01|2025-11-01|2026-03-01
iDE,LA LLOMA    132.00,132.0,ALICANTE,8,5,25.0,2,50.0,51.3,180.7,True,2024-05-29|2024-06-25|2024-07-23|2024-12-02|2025-01-30|2025-04-11|2025-11-01|2026-05-01
iDE,AQUA        132.00,132.0,VALENCIA,8,5,25.0,2,50.0,48.1,160.2,True,2024-05-29|2024-06-25|2024-11-15|2025-04-11|2025-11-01|2025-12-01|2026-03-01|2026-05-01
iDE,ORCOYEN     66.000,66.0,NAVARRA,8,1,25.0,1,50.0,26.3,91.4,True,2024-05-29|2025-01-30|2025-02-26|2025-04-11|2025-10-01|2025-11-01|2026-01-01|2026-03-01
iDE,OLITE       132.00,132.0,MADRID,7,11,28.6,4,57.1,106.6,321.9,True,2024-06-25|2024-07-23|2024-11-15|2025-01-30|2025-10-01|2025-11-01|2025-12-01
REE,TAJO ENCANTADA,220.0,,7,3,28.6,1,57.1,89.6,172.0,True,2024-01-02|2024-03-01|2024-04-01|2025-08-01|2025-12-01|2026-02-20|2026-03-02
iDE,BENIDORM    132.00,132.0,ALICANTE,7,5,28.6,2,57.1,60.0,176.3,True,2024-05-29|2024-06-25|2024-08-27|2025-01-30|2025-04-11|2025-11-01|2026-05-01
REE,CODONYERS,220.0,,7,1,28.6,1,57.1,34.3,120.0,True,2024-01-02|2024-02-01|2024-04-01|2024-11-04|2025-01-02|2025-07-01|2026-02-20
Endesa,MANRESA,110.0,Barcelona,7,1,28.6,1,57.1,33.1,114.8,True,2022-01-01|2022-02-01|2025-10-01|2025-12-01|2026-01-01|2026-03-01|2026-05-01
Endesa,ONUBA,20.0,Huelva,7,3,28.6,1,57.1,8.6,23.3,True,2021-11-01|2022-02-01|2022-03-01|2025-10-01|2025-12-01|2026-01-01|2026-03-01
REE,ZIERBENA,400.0,,6,3,33.3,1,50.0,177.8,450.0,True,2024-03-01|2024-07-01|2025-04-01|2025-05-05|2026-02-20|2026-03-02
REE,LA TORRECILLA,220.0,,6,8,16.7,4,50.0,167.0,401.0,True,2024-08-01|2024-11-04|2025-07-01|2025-10-01|2025-12-01|2026-02-20
iDE,TORRENTE    132.00,132.0,VALENCIA,6,5,16.7,4,50.0,138.6,191.7,True,2024-05-29|2024-12-02|2025-10-01|2025-11-01|2026-01-01|2026-03-01
REE,ALMODOVAR DEL RIO,220.0,,6,5,33.3,2,50.0,99.3,274.0,True,2025-05-05|2025-06-02|2025-07-01|2025-10-01|2026-02-20|2026-05-01
iDE,CUART       132.00,132.0,VALENCIA,6,11,33.3,4,66.7,90.4,216.1,True,2024-06-25|2024-11-15|2024-12-02|2025-04-11|2025-10-01|2025-11-01
REE,CONSO,220.0,,6,1,16.7,1,50.0,88.3,419.0,True,2024-01-02|2024-12-02|2025-03-03|2025-06-02|2026-02-20|2026-05-01
REE,JALON,220.0,,6,2,33.3,1,50.0,78.5,254.0,True,2024-11-04|2025-02-03|2025-03-03|2025-07-01|2025-08-01|2026-02-20
iDE,VIVEROS     66.000,66.0,VALENCIA,6,11,33.3,4,66.7,78.2,125.0,True,2024-11-15|2024-12-02|2025-02-26|2025-04-11|2025-10-01|2025-11-01
REE,LA LORA,400.0,,6,7,33.3,3,66.7,76.5,223.0,True,2024-07-01|2024-09-02|2025-02-03|2025-07-01|2025-08-01|2025-10-01
REE,LAS MAZORRAS,220.0,,6,2,33.3,1,50.0,70.7,225.0,True,2024-01-02|2024-02-01|2024-04-01|2024-06-03|2024-12-02|2026-02-20
REE,PRADA,220.0,,6,5,50.0,2,66.7,67.2,152.0,True,2024-05-16|2024-12-02|2025-04-01|2025-05-05|2025-08-01|2026-05-01
iDE,GANDIA      132.00,132.0,VALENCIA,6,11,33.3,4,66.7,65.2,157.6,True,2024-06-25|2024-11-15|2024-12-02|2025-02-26|2025-10-01|2025-11-01
iDE,R.TEJAR     132.00,132.0,MADRID,6,11,33.3,4,50.0,56.9,107.2,True,2024-07-23|2024-09-26|2024-11-15|2025-01-30|2025-10-01|2025-11-01
iDE,ALCIRA      132.00,132.0,VALENCIA,6,12,33.3,4,66.7,51.8,145.7,True,2024-06-25|2024-12-02|2025-01-30|2025-10-01|2025-11-01|2025-12-01
iDE,SERRALLO    66.000,66.0,CASTELLÓN,6,8,16.7,1,50.0,46.3,84.6,True,2024-08-27|2025-01-30|2025-02-26|2025-10-01|2025-11-01|2026-03-01
iDE,LA PUNTA    132.00,132.0,VALENCIA,6,11,33.3,4,50.0,41.7,109.4,True,2024-06-25|2024-10-29|2024-11-15|2025-01-30|2025-11-01|2026-05-01
Endesa,S_MARINA,66.0,Badajoz,6,12,33.3,4,66.7,41.3,98.2,True,2021-11-01|2021-12-01|2022-05-01|2025-10-01|2025-12-01|2026-05-01
REE,PUERTO DE LA CRUZ,220.0,,6,12,33.3,2,50.0,36.2,74.0,True,2024-12-02|2025-04-01|2025-06-02|2025-12-01|2026-03-02|2026-05-01
iDE,NOUMOLES    66.000,66.0,VALENCIA,6,11,33.3,4,50.0,19.9,27.5,True,2024-09-26|2024-11-15|2025-02-26|2025-10-01|2025-11-01|2026-03-01
Endesa,ONUBA,66.0,Huelva,6,1,33.3,1,50.0,17.4,50.0,True,2021-11-01|2022-01-01|2022-04-01|2025-12-01|2026-01-01|2026-03-01
iDE,RETAMAR 45.000,45.0,MADRID,6,11,33.3,4,66.7,15.0,16.7,True,2023-11-30|2023-11-30|2023-12-21|2023-12-21|2024-01-31|2024-01-31
Endesa,VAGUADAS,20.0,Badajoz,6,5,33.3,2,50.0,13.4,25.6,True,2021-09-01|2022-01-01|2022-04-01|2022-05-01|2025-12-01|2026-05-01
iDE,HARO        66.000,66.0,LA RIOJA,6,10,33.3,4,50.0,12.2,22.7,True,2024-07-23|2024-10-29|2024-12-02|2025-10-03|2026-01-01|2026-03-01
iDE,VALLDIGN T2,20.0,VALENCIA,6,12,16.7,4,50.0,9.5,18.2,True,2023-12-21|2024-06-25|2024-09-26|2025-04-11|2025-10-01|2025-11-01
REE,BELESAR,220.0,,5,7,40.0,3,60.0,159.2,322.0,True,2024-02-01|2024-07-01|2025-05-05|2025-07-01|2025-08-01
REE,ZAMORA,220.0,,5,5,40.0,2,60.0,142.6,569.0,True,2025-02-03|2025-05-05|2025-06-02|2025-08-01|2026-05-01
iDE,ARGUELLE    132.00,132.0,MADRID,5,10,40.0,4,60.0,127.7,295.3,True,2024-05-29|2024-10-29|2025-02-26|2025-10-01|2025-11-01
iDE,PICAÑA      132.00,132.0,VALENCIA,5,11,40.0,4,60.0,102.2,189.1,True,2024-05-29|2024-11-15|2025-10-01|2025-11-01|2026-03-01
iDE,AYALA       132.00,132.0,MADRID,5,6,20.0,4,60.0,99.2,220.5,True,2024-06-25|2024-12-02|2025-10-01|2025-11-01|2026-03-01
REE,ESCUCHA,220.0,,5,5,40.0,2,60.0,97.6,199.0,True,2025-04-01|2025-05-05|2025-08-01|2026-02-20|2026-05-01
REE,ZARZON,400.0,,5,3,40.0,1,60.0,85.4,285.0,True,2024-03-01|2024-08-01|2025-02-03|2025-03-03|2025-06-02
iDE,C.UNIVER    132.00,132.0,MADRID,5,10,40.0,4,60.0,65.2,138.8,True,2024-05-29|2024-10-29|2025-10-01|2025-11-01|2026-03-01
iDE,TORREFIE    132.00,132.0,VALENCIA,5,11,40.0,4,60.0,61.1,168.2,True,2024-05-29|2024-11-15|2024-12-02|2025-04-11|2025-11-01
