razon,id,fecha,primera_vez,primer_id,nombre_proyecto,url
TITULO_CROSS_URL,BOLR-20250401-0,20250401,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250402-0,20250402,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250403041,20250403,20250401,BOA20250401034,LAT Subestación Libienergy a Subestación Almendra Promotores,
TITULO_CROSS_URL,BOLR-20250403-0,20250403,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250404-0,20250404,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250407036,20250407,20250401,BOA20250401034,LAMT El Bayo - Valareña,
TITULO_CROSS_URL,BOLR-20250407-0,20250407,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250408036,20250408,20250401,BOA20250401034,Planta Solar Fotovoltaica Amaranto,
TITULO_CROSS_URL,BOLR-20250408-0,20250408,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250409037,20250409,20250409,BOA20250409036,Planta Fotovoltaica Castillo 2,
TITULO_DUPLICADO_SIN_URL,BOA20250409039,20250409,20250403,BOA20250403039,Hibridación PFV Stev,
TITULO_CROSS_URL,BOLR-20250409-0,20250409,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250410-0,20250410,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250411-0,20250411,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250414-0,20250414,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250415030,20250415,20250414,BOA20250414035,Planta Solar Fotovoltaica CF Cinca,
TITULO_CROSS_URL,BOLR-20250415-0,20250415,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250416026,20250416,20250401,BOA20250401034,Planta Fotovoltaica Abedul IV,
