fecha,distribuidora,provincia,municipio,subestacion,tension_kv,disponible_neta
2021-07-01,Endesa,Barcelona,,ABADESSES,25.0,5.2
2021-08-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2021-09-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2021-10-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2021-11-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2021-12-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2022-01-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2022-02-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2022-03-01,Endesa,Barcelona,,ABADESSES,25.0,5.3
2022-04-01,Endesa,Barcelona,,ABADESSES,25.0,0.0
2022-05-01,Endesa,Barcelona,,ABADESSES,25.0,0.0
2022-06-01,Endesa,Barcelona,,ABADESSES,25.0,0.0
2022-07-01,Endesa,Barcelona,,ABADESSES,25.0,0.0
2021-07-01,Endesa,Barcelona,,ABADESSES,45.0,5.2
2021-08-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2021-09-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2021-10-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2021-11-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2021-12-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2022-01-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2022-02-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2022-03-01,Endesa,Barcelona,,ABADESSES,45.0,5.3
2022-04-01,Endesa,Barcelona,,ABADESSES,45.0,0.0
2022-05-01,Endesa,Barcelona,,ABADESSES,45.0,0.0
2022-06-01,Endesa,Barcelona,,ABADESSES,45.0,0.0
2022-07-01,Endesa,Barcelona,,ABADESSES,45.0,0.0
2021-07-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2021-08-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2021-09-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2021-10-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2021-11-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2021-12-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2022-01-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2022-02-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2022-03-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2022-04-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2022-05-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2022-06-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2022-07-01,Endesa,Málaga,,ABDALAJI,66.0,0.0
2021-07-01,Endesa,Cádiz,,ABELLO,66.0,46.4
2021-08-01,Endesa,Cádiz,,ABELLO,66.0,46.4
2021-09-01,Endesa,Cádiz,,ABELLO,66.0,46.4
2021-10-01,Endesa,Cádiz,,ABELLO,66.0,46.4
2021-11-01,Endesa,Cádiz,,ABELLO,66.0,46.4
2021-12-01,Endesa,Cádiz,,ABELLO,66.0,-88.6
2022-01-01,Endesa,Cádiz,,ABELLO,66.0,-88.6
2022-02-01,Endesa,Cádiz,,ABELLO,66.0,-136.7
2022-03-01,Endesa,Cádiz,,ABELLO,66.0,-91.7
2022-04-01,Endesa,Cádiz,,ABELLO,66.0,0.0
2022-05-01,Endesa,Cádiz,,ABELLO,66.0,0.0
2022-06-01,Endesa,Cádiz,,ABELLO,66.0,0.0
2022-07-01,Endesa,Cádiz,,ABELLO,66.0,0.0
2021-07-01,Endesa,Cádiz,,ABIERTAS,15.0,24.9
2021-08-01,Endesa,Cádiz,,ABIERTAS,15.0,24.8
2021-09-01,Endesa,Cádiz,,ABIERTAS,15.0,24.8
2021-10-01,Endesa,Cádiz,,ABIERTAS,15.0,24.8
2021-11-01,Endesa,Cádiz,,ABIERTAS,15.0,24.8
2021-12-01,Endesa,Cádiz,,ABIERTAS,15.0,24.8
2022-01-01,Endesa,Cádiz,,ABIERTAS,15.0,24.7
2022-02-01,Endesa,Cádiz,,ABIERTAS,15.0,24.6
2022-03-01,Endesa,Cádiz,,ABIERTAS,15.0,19.1
2022-04-01,Endesa,Cádiz,,ABIERTAS,15.0,-8.8
2022-05-01,Endesa,Cádiz,,ABIERTAS,15.0,-8.8
2022-06-01,Endesa,Cádiz,,ABIERTAS,15.0,-8.8
2022-07-01,Endesa,Cádiz,,ABIERTAS,15.0,-8.8
2021-07-01,Endesa,Cádiz,,ABIERTAS,66.0,56.7
2021-08-01,Endesa,Cádiz,,ABIERTAS,66.0,56.7
2021-09-01,Endesa,Cádiz,,ABIERTAS,66.0,56.7
2021-10-01,Endesa,Cádiz,,ABIERTAS,66.0,56.6
2021-11-01,Endesa,Cádiz,,ABIERTAS,66.0,56.6
2021-12-01,Endesa,Cádiz,,ABIERTAS,66.0,56.6
2022-01-01,Endesa,Cádiz,,ABIERTAS,66.0,56.6
2022-02-01,Endesa,Cádiz,,ABIERTAS,66.0,55.8
2022-03-01,Endesa,Cádiz,,ABIERTAS,66.0,9.2
2022-04-01,Endesa,Cádiz,,ABIERTAS,66.0,0.0
2022-05-01,Endesa,Cádiz,,ABIERTAS,66.0,0.0
2022-06-01,Endesa,Cádiz,,ABIERTAS,66.0,0.0
2022-07-01,Endesa,Cádiz,,ABIERTAS,66.0,0.0
2021-07-01,Endesa,Barcelona,,ABRERA,25.0,87.0
2021-08-01,Endesa,Barcelona,,ABRERA,25.0,30.0
2021-09-01,Endesa,Barcelona,,ABRERA,25.0,50.0
2021-10-01,Endesa,Barcelona,,ABRERA,25.0,50.0
2021-11-01,Endesa,Barcelona,,ABRERA,25.0,50.0
2021-12-01,Endesa,Barcelona,,ABRERA,25.0,30.0
2022-01-01,Endesa,Barcelona,,ABRERA,25.0,30.0
2022-02-01,Endesa,Barcelona,,ABRERA,25.0,30.0
2022-03-01,Endesa,Barcelona,,ABRERA,25.0,30.0
2022-04-01,Endesa,Barcelona,,ABRERA,25.0,13.0
2022-05-01,Endesa,Barcelona,,ABRERA,25.0,13.0
2022-06-01,Endesa,Barcelona,,ABRERA,25.0,13.0
2022-07-01,Endesa,Barcelona,,ABRERA,25.0,13.0
2021-07-01,Endesa,Granada,,ACCITANA,20.0,0.0
2021-08-01,Endesa,Granada,,ACCITANA,20.0,0.0
2021-09-01,Endesa,Granada,,ACCITANA,20.0,0.0
2021-10-01,Endesa,Granada,,ACCITANA,20.0,0.0
2021-11-01,Endesa,Granada,,ACCITANA,20.0,0.0
2021-12-01,Endesa,Granada,,ACCITANA,20.0,0.0
2022-01-01,Endesa,Granada,,ACCITANA,20.0,0.0
2022-02-01,Endesa,Granada,,ACCITANA,20.0,0.0
2022-03-01,Endesa,Granada,,ACCITANA,20.0,0.0
