fecha,distribuidora,provincia,municipio,subestacion,tension_kv,disponible_neta
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,132,0.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,132,0.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,50,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,50,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,50,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,50,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLAVICIOSA,24,3.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,50,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,50,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,50,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,50,0.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Asturias,,SE VILLALEGRE,22,4.0
2023-09-27,E-Redes,Valencia,,SE VIDANOVA,20,11.0
2023-09-27,E-Redes,Valencia,,SE VIDANOVA,20,8.0
2023-09-27,E-Redes,Valencia,,SE VIDANOVA,20,8.0
2023-09-27,E-Redes,Valencia,,SE VIDANOVA,20,8.0
2023-09-27,E-Redes,Valencia,,SE VIDANOVA,20,8.0
2023-09-27,E-Redes,Valencia,,SE VIDANOVA,20,11.0
2023-09-27,E-Redes,Valencia,,SE VIDANOVA,20,11.0
2023-09-27,E-Redes,Asturias,,SE VEGUIN 1,24,2.0
2023-09-27,E-Redes,Asturias,,SE VEGUIN 1,24,2.0
2023-09-27,E-Redes,Asturias,,SE VEGUIN 1,24,2.0
2023-09-27,E-Redes,Asturias,,SE VEGUIN 1,24,2.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,50,0.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,50,0.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,22,6.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,22,6.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,22,6.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,22,6.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,22,3.0
2023-09-27,E-Redes,Asturias,,SE VEGA RENGOS,22,6.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,132,12.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,132,0.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,50,10.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,50,10.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,132,5.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,132,12.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,132,12.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,50,10.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,50,10.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,0.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TRASONA,22,2.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,132,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,132,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,132,0.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,132,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,50,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,50,4.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,50,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,50,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,50,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,50,12.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,50,0.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE TABIELLA,22,3.0
2023-09-27,E-Redes,Asturias,,SE SOTO,132,30.0
2023-09-27,E-Redes,Asturias,,SE SOTO,132,30.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,50,0.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,50,0.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,50,0.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,50,0.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,5.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,5.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,5.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,5.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,5.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,4.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,5.0
2023-09-27,E-Redes,Asturias,,SE SIENRA,22,5.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,132,30.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,132,0.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,132,30.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,132,0.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,1.98
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SAN ESTEBAN,22,3.0
2023-09-27,E-Redes,Asturias,,SE SALAS,132,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,132,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,132,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,132,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
2023-09-27,E-Redes,Asturias,,SE SALAS,22,0.0
