fecha,distribuidora,provincia,municipio,subestacion,tension_kv,disponible_neta,ccaa
2025-10-01,ERedes,Valencia,ALDAIA,SE ALDAIA,20.0,-3.0,
2025-11-01,ERedes,Valencia,ALDAIA,SE ALDAIA,20.0,0.0,
2025-12-01,ERedes,Valencia/Valéncia,ALDAIA,SE ALDAIA,20.0,0.0,
2026-01-01,ERedes,Valencia/Valéncia,ALDAIA,SE ALDAIA,20.0,0.0,
2026-02-01,ERedes,Valencia/Valéncia,ALDAIA,SE ALDAIA,20.0,0.0,
2026-03-01,ERedes,Valencia/Valéncia,ALDAIA,SE ALDAIA,20.0,0.0,
2025-10-01,ERedes,Asturias,LLANERA,SE ALIMERKA,22.0,0.0,
2025-11-01,ERedes,Asturias,LLANERA,SE ALIMERKA,22.0,0.0,
2025-12-01,ERedes,Asturias,LLANERA,SE ALIMERKA,22.0,0.0,
2026-01-01,ERedes,Asturias,LLANERA,SE ALIMERKA,22.0,0.0,
2026-02-01,ERedes,Asturias,LLANERA,SE ALIMERKA,22.0,0.0,
2026-03-01,ERedes,Asturias,LLANERA,SE ALIMERKA,22.0,0.0,
2025-10-01,ERedes,Asturias,LLANERA,SE ALIMERKA,50.0,-26.0,
2025-11-01,ERedes,Asturias,LLANERA,SE ALIMERKA,50.0,0.0,
2025-12-01,ERedes,Asturias,LLANERA,SE ALIMERKA,50.0,0.0,
2026-01-01,ERedes,Asturias,LLANERA,SE ALIMERKA,50.0,0.0,
2026-02-01,ERedes,Asturias,LLANERA,SE ALIMERKA,50.0,0.0,
2026-03-01,ERedes,Asturias,LLANERA,SE ALIMERKA,50.0,0.0,
2025-10-01,ERedes,Asturias,AVILÉS,SE AMBULATORIO,22.0,3.0,
2025-11-01,ERedes,Asturias,AVILÉS,SE AMBULATORIO,22.0,3.0,
2025-12-01,ERedes,Asturias,AVILÉS,SE AMBULATORIO,22.0,3.0,
2026-01-01,ERedes,Asturias,AVILÉS,SE AMBULATORIO,22.0,3.0,
2026-02-01,ERedes,Asturias,AVILÉS,SE AMBULATORIO,22.0,3.0,
2026-03-01,ERedes,Asturias,AVILÉS,SE AMBULATORIO,22.0,3.0,
2025-10-01,ERedes,Asturias,PARRES,SE ARRIONDAS,24.0,1.0,
2025-11-01,ERedes,Asturias,PARRES,SE ARRIONDAS,24.0,1.0,
2025-12-01,ERedes,Asturias,PARRES,SE ARRIONDAS,24.0,1.0,
2026-01-01,ERedes,Asturias,PARRES,SE ARRIONDAS,24.0,1.0,
2026-02-01,ERedes,Asturias,PARRES,SE ARRIONDAS,24.0,1.0,
2026-03-01,ERedes,Asturias,PARRES,SE ARRIONDAS,24.0,1.0,
2025-10-01,ERedes,Asturias,PARRES,SE ARRIONDAS,50.0,0.0,
2025-11-01,ERedes,Asturias,PARRES,SE ARRIONDAS,50.0,0.0,
2025-12-01,ERedes,Asturias,PARRES,SE ARRIONDAS,50.0,0.0,
