fecha,distribuidora,provincia,municipio,subestacion,tension_kv,disponible_bruta,disponible_neta,cap_gen_ocup,cap_gen_tram,ccaa
2022-08-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2022-08-22,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2022-09-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2022-10-03,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2022-11-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2022-12-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-01-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-02-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-03-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-04-03,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-05-03,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-06-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-07-03,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-08-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-09-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-10-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-11-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2023-12-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-01-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-02-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-03-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-04-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-05-16,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-06-03,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-07-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-08-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-09-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-10-01,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-11-04,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2024-12-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2025-01-02,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
2025-02-03,REE,,,ABADES,220,0.0,0.0,0.0,,Castilla y León
