fecha,distribuidora,provincia,municipio,subestacion,tension_kv,disponible_neta
2021-07-01,UFD,ORENSE,,A RUA,20.0,0.0
2022-02-27,UFD,ORENSE,,A RUA,20.0,0.0
2022-03-27,UFD,ORENSE,,A RUA,20.0,0.0
2022-04-28,UFD,ORENSE,,A RUA,20.0,0.0
2022-05-29,UFD,ORENSE,,A RUA,20.0,0.0
2022-06-26,UFD,ORENSE,,A RUA,20.0,0.0
2022-07-27,UFD,ORENSE,,A RUA,20.0,0.0
2022-08-28,UFD,ORENSE,,A RUA,20.0,0.0
2022-09-28,UFD,ORENSE,,A RUA,20.0,0.0
2022-10-23,UFD,ORENSE,,A RUA,20.0,0.0
2022-11-27,UFD,ORENSE,,A RUA,20.0,0.0
2022-12-23,UFD,ORENSE,,A RUA,20.0,0.0
2023-01-30,UFD,ORENSE,,A RUA,20.0,0.0
2023-02-28,UFD,ORENSE,,A RUA,20.0,0.0
2023-03-29,UFD,ORENSE,,A RUA,20.0,0.0
2023-04-27,UFD,ORENSE,,A RUA,20.0,0.0
2023-06-01,UFD,ORENSE,,A RUA,20.0,0.0
2023-06-29,UFD,ORENSE,,A RUA,20.0,0.0
2023-07-10,UFD,ORENSE,,A RUA,20.0,0.0
2023-08-23,UFD,ORENSE,,A RUA,20.0,0.0
2023-09-25,UFD,ORENSE,,A RUA,20.0,0.0
2023-10-24,UFD,ORENSE,,A RUA,20.0,0.0
2023-11-28,UFD,ORENSE,,A RUA,20.0,0.0
2023-12-22,UFD,ORENSE,,A RUA,20.0,0.0
2024-01-26,UFD,ORENSE,,A RUA,20.0,0.0
2024-02-22,UFD,ORENSE,,A RUA,20.0,0.0
2024-03-21,UFD,ORENSE,,A RUA,20.0,0.0
2024-04-18,UFD,ORENSE,,A RUA,20.0,0.0
2024-05-21,UFD,ORENSE,,A RUA,20.0,0.0
2024-06-18,UFD,ORENSE,,A RUA,20.0,0.0
2024-07-17,UFD,ORENSE,,A RUA,20.0,0.0
2024-08-19,UFD,ORENSE,,A RUA,20.0,0.0
2024-09-25,UFD,ORENSE,,A RUA,20.0,0.0
2024-10-23,UFD,ORENSE,,A RUA,20.0,0.0
2024-12-17,UFD,ORENSE,,A RUA,20.0,0.0
2025-01-27,UFD,ORENSE,,A RUA,20.0,0.0
2025-02-25,UFD,ORENSE,,A RUA,20.0,0.0
2021-07-01,UFD,ORENSE,,A RUA,132.0,0.0
2022-02-27,UFD,ORENSE,,A RUA,132.0,0.0
2022-03-27,UFD,ORENSE,,A RUA,132.0,0.0
2022-04-28,UFD,ORENSE,,A RUA,132.0,0.0
2022-05-29,UFD,ORENSE,,A RUA,132.0,0.0
2022-06-26,UFD,ORENSE,,A RUA,132.0,0.0
2022-07-27,UFD,ORENSE,,A RUA,132.0,0.0
2022-08-28,UFD,ORENSE,,A RUA,132.0,0.0
2022-09-28,UFD,ORENSE,,A RUA,132.0,0.0
2022-10-23,UFD,ORENSE,,A RUA,132.0,0.0
2022-11-27,UFD,ORENSE,,A RUA,132.0,0.0
2022-12-23,UFD,ORENSE,,A RUA,132.0,0.0
2023-01-30,UFD,ORENSE,,A RUA,132.0,0.0
2023-02-28,UFD,ORENSE,,A RUA,132.0,0.0
2023-03-29,UFD,ORENSE,,A RUA,132.0,0.0
2023-04-27,UFD,ORENSE,,A RUA,132.0,0.0
2023-06-01,UFD,ORENSE,,A RUA,132.0,0.0
2023-06-29,UFD,ORENSE,,A RUA,132.0,0.0
2023-07-10,UFD,ORENSE,,A RUA,132.0,0.0
2023-08-23,UFD,ORENSE,,A RUA,132.0,0.0
2023-09-25,UFD,ORENSE,,A RUA,132.0,0.0
2023-10-24,UFD,ORENSE,,A RUA,132.0,0.0
2023-11-28,UFD,ORENSE,,A RUA,132.0,0.0
2023-12-22,UFD,ORENSE,,A RUA,132.0,0.0
2024-01-26,UFD,ORENSE,,A RUA,132.0,0.0
2024-02-22,UFD,ORENSE,,A RUA,132.0,0.0
2024-03-21,UFD,ORENSE,,A RUA,132.0,0.0
2024-04-18,UFD,ORENSE,,A RUA,132.0,0.0
2024-05-21,UFD,ORENSE,,A RUA,132.0,0.0
