fecha,distribuidora,provincia,municipio,subestacion,tension_kv,disponible_neta
2021-07-01,Viesgo,ASTURIAS,,EL PALO,132,53.313
2021-07-01,Viesgo,ASTURIAS,,EL PALO,132,42.25
2021-07-01,Viesgo,ASTURIAS,,EL PALO,132,112.12
2021-07-01,Viesgo,ASTURIAS,,SANZO,132,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,132,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,132,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,132,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,132,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,132,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,132,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,12,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,12,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,12,0.0
2021-07-01,Viesgo,ASTURIAS,,SANZO,12,0.0
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.0
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ALMUÑA,20,0.175
2021-07-01,Viesgo,ASTURIAS,,ARBON,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,132,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,30,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,30,0.0
2021-07-01,Viesgo,ASTURIAS,,ARBON,30,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,30,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,30,0.2
2021-07-01,Viesgo,ASTURIAS,,ARBON,30,0.2
2021-07-01,Viesgo,ASTURIAS,,DOIRAS,132,0.2
2021-07-01,Viesgo,ASTURIAS,,DOIRAS,132,0.2
2021-07-01,Viesgo,ASTURIAS,,DOIRAS,132,0.2
2021-07-01,Viesgo,ASTURIAS,,DOIRAS,132,0.2
2021-07-01,Viesgo,ASTURIAS,,DOIRAS,132,0.2
2021-07-01,Viesgo,ASTURIAS,,DOIRAS,30,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,132,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,132,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,JARRIO,20,0.2
2021-07-01,Viesgo,ASTURIAS,,PICO GALLO,132,0.2
2021-07-01,Viesgo,ASTURIAS,,PICO GALLO,132,0.2
2021-07-01,Viesgo,ASTURIAS,,PICO GALLO,132,0.2
2021-07-01,Viesgo,ASTURIAS,,PICO GALLO,132,0.2
